LINKID,LENGTH,ROUTETYP,AREACODE,LANES,VDF,LINKFLOW,SPEED,LANEFLOW,DELAY,SPEEDFF,LLENGTH,LSPEED,LSPEEDFF,LLANES,LLANEFLO,LDELAY,VCR,VCR2,VCR3,VCR4,INBELT,RURAL,LOSTSPD,VCR5,VCR6,VCR7,LANES1,LANES2,LANES3,LANES4,TIMECONG,TIMEFF,LINKDEL,LINKDELRAT,ESTSPD,SQDERR,SQRTLEN,DELPMIL,RT4,RT3,RT2,ESTTIME,ACTTIME,ACTTIMFF,FLOWDEL,APPRDEL
13761943,0.67,1,20,2,11,1009.05,39,504.53,0,46,-0.40047756659712525,3.6635616461296463,3.828641396489095,0.6931471805599453,6.223627302842352,,0.33635333333333334,0.11313356484444445,0.0380528516473117,0.012799203494412116,0,0,7,0.004305054759357163,0.001448019518492313,0.0004870461917766178,0,1,0,0,1.0307692307692309,0.8739130434782609,0.15685618729096995,0.17948717948717952,33.52151,30.01385268010001,0.8185352771872451,0,0,0,1,1.199229986954645,1.0307692307692309,0.8739130434782609,0.08424356147059942,0
19431376,0.67,1,20,2,11,452.91,36,226.46,0,45,-0.40047756659712525,3.58351893845611,3.8066624897703196,0.6931471805599453,5.422568328885894,,0.15097333333333335,0.022792947377777782,0.0034411272421143715,0.0005195184501661472,0,0,9,7.843343214975046e-05,1.1841356696421661e-05,1.7877290916477663e-06,0,1,0,0,1.1166666666666667,0.8933333333333334,0.22333333333333327,0.25,34.39686,2.5700578596000105,0.8185352771872451,0,0,0,1,1.168711330045824,1.1166666666666667,0.8933333333333334,0.037390577682176795,0
13262423,0.26,2,77,1,27,255.78,38,255.78,0.13,45,-1.3470736479666092,3.6375861597263857,3.8066624897703196,0,5.544317700005174,-2.0402208285265546,0.17052,0.029077070400000002,0.004958222044608,0.0008454760230465563,0,0,7,0.0001441705714498988,2.4583965843636743e-05,4.192057855656938e-06,1,0,0,0,0.41052631578947374,0.3466666666666667,0.06385964912280706,0.1842105263157896,32.730419999999995,27.76847337640005,0.5099019513592785,0.5,0,0,1,0.476620831630025,0.41052631578947374,0.3466666666666667,0.01799202521819665,0.008077505978339283
13582228,0.29,2,10,1,19,697.68,35,697.68,0.21,42,-1.2378743560016174,3.5553480614894135,3.7376696182833684,0,6.54776054491873,-1.5606477482646683,0.46512,0.2163366144,0.10062248608972799,0.04680153073005428,1,0,7,0.021768327973162846,0.010124884706877502,0.004709286374862863,1,0,0,0,0.4971428571428571,0.41428571428571426,0.08285714285714285,0.19999999999999996,26.87199,66.0645465601,0.5385164807134504,0.7241379310344828,0,0,1,0.6475143820759087,0.4971428571428571,0.41428571428571426,0.04124073766510161,0.0215960222479189
13582235,1.13,2,10,1,19,213.18,30,213.18,0.69,34,0.12221763272424911,3.4011973816621555,3.5263605246161616,0,5.362136879260991,-0.37106368139083207,0.14212,0.020198094399999998,0.002870553176128,0.00040796301739131133,1,0,4,5.797970403165316e-05,8.240075536978547e-06,1.1710795353153911e-06,1,0,0,0,2.26,1.9941176470588236,0.26588235294117624,0.1333333333333333,28.005049999999997,3.9798255025000113,1.0630145812734648,0.6106194690265487,0,0,1,2.4209919282415138,2.26,1.9941176470588236,0.04734001898654805,0.23751841000412854
13731374,1.19,2,21,1,19,205.64,31,205.64,0,35,0.17395330712343798,3.4339872044851463,3.5553480614894135,0,5.326127067187304,,0.13709333333333332,0.01879458204444444,0.0025766119010797025,0.0003532363142253533,0,0,4,4.842634377153443e-05,6.638928888785559e-06,9.101528911265749e-07,1,0,0,0,2.3032258064516125,2.0399999999999996,0.26322580645161286,0.12903225806451624,30.86992,0.016920806399999877,1.0908712114635715,0,0,0,1,2.312931164058734,2.3032258064516125,2.0399999999999996,0.07484330207059164,0
13731915,0.44,2,20,1,19,334.65,35,334.65,0,35,-0.8209805520698302,3.5553480614894135,3.5263605246161616,0,5.813085209546651,,0.2231,0.049773609999999996,0.011104492390999999,0.0024774122524320995,0,0,-1,0.0005527106735176014,0.00012330975126177688,2.751040550650242e-05,1,0,0,0,0.7542857142857142,0.7542857142857142,0,0,28.238870000000006,45.71287887689992,0.6633249580710799,0,0,0,1,0.9348816011405553,0.7542857142857142,0.7542857142857142,0.05249365346362067,0
13741373,1.19,2,21,1,19,768.24,35,768.24,0,35,0.17395330712343798,3.5553480614894135,3.5263605246161616,0,6.644102184329717,,0.5121600000000001,0.2623078656000001,0.13434359644569605,0.06880541635562769,0,0,-1,0.03523938204069828,0.018048201905964033,0.00924356708815854,1,0,0,0,2.0399999999999996,2.0399999999999996,0,0,28.056919999999998,48.20635988640003,1.0908712114635715,0,0,0,1,2.5448267308029533,2.0399999999999996,2.0399999999999996,0.3075279698729032,0
13742243,0.22,2,21,1,19,493.96,31,493.96,0.72,35,-1.5141277326297755,3.4339872044851463,3.5553480614894135,0,6.202454542249622,-0.3285040669720361,0.32930666666666664,0.10844288071111109,0.03571096357070695,0.01175985837692427,0,0,4,0.0038725997625770076,0.001275272919148359,0.00041995587409501557,1,0,0,0,0.4258064516129032,0.3771428571428571,0.04866359447004609,0.12903225806451624,23.668720000000004,53.74766643839994,0.469041575982343,3.2727272727272725,0,0,1,0.5576980926725229,0.4258064516129032,0.3771428571428571,0.0528870754076497,0.06504774907428734
13802234,0.92,2,21,1,19,1372.14,34,1372.14,0.29,41,-0.08338160893905101,3.5263605246161616,3.713572066704308,0,7.2241268438963475,-1.2378743560016174,0.91476,0.8367858576,0.765458231098176,0.7002105714793675,0,0,7,0.6405246223664662,0.5859263035559487,0.5359819454408397,1,0,0,0,1.6235294117647059,1.3463414634146342,0.27718794835007166,0.2058823529411764,26.127180000000003,61.981294752399954,0.9591663046625439,0.3152173913043478,0,0,1,2.1127423625511823,1.6235294117647059,1.3463414634146342,0.44079142224415646,0.09710756542953503
