G,,,,,,,,,S L,|,,,,,,OFF PEAK TRAVEL,,,,,,,,,,|,,,,EVENING PEAK HOUR TRAVEL,,,,,,,,,,,,,,
R,,T,,,,,,,P I,|,,,,,,,,,,,Fixed,Randm,,Per-,,|,,,,,,,,,,,Fixed,Randm,,Per-,,,,
O,D,Y,D,,,,,,E M,|,Travel,,,Travel,,Stop,,Run,,Run,Time,Time,,cent,,|,Travel,,,Travel,,Stop,,Run,,Run,Time,Time,,cent,,,,
U,I,P,E,,,INTERSECTING STREETS,,,E I,|,Speed,,,Time,,Time,,Time,,Speed,Delay,Delay,,Time,,|,Speed,,,Time,,Time,,Time,,Speed,Delay,Delay,,Time,,,,
P,R,E,S,LINK,I node,,J node,,D T,|,(mph),LOS,,(secs),,(secs),,(secs),,(mph),(secs),(secs),,Delay,,|,(mph),LOS,,(secs),,(secs),,(secs),,(mph),(secs),(secs),,Delay,,,,
,,,,,,,,,,|,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,
PG,E,3,U,MD.193,2428,Md.195,4777,Md.650,35,|,27.6,,A,56,,0,,56,,27.6,3,14,,30%,,|,23.4,,B,66,,9,,57,,27.1,17,10,,41%,,,,{edit}{home}{del}{?}{down}{\e}
PG,W,3,U,MD.193,4777,Md.650,2428,Md.195,35,|,25,,A,64,,0,,64,,25,8,16,,38%,,|,33.4,,A,48,,0,,48,,33.4,0,8,,17%,,,,
PG,W,1,S,Md.198,9995,Bauer La.,4724,Old Gunp. Rd.,45,|,12.6,,F,55,,18,,37,,18.7,24,17,,75%,,|,11.3,,F,61,,24,,37,,18.7,34,13,,77%,,,,
PG,E,1,S,Md.198,9995,Bauer La.,4724,Old Gunp. Rd.,45,|,16.9,,E,41,,7,,34,,20.4,14,13,,66%,,|,9,,F,77,,30,,47,,14.8,45,18,,82%,,,,
PG,E,1,S,Md.198,4724,Old Gunp. Rd.,9995,Bauer La.,45,|,30.2,,B,25,,0,,25,,30.2,1,9,,40%,,|,32.8,,B,23,,0,,23,,32.8,0,8,,35%,,,,
PG,E,1,S,Md.198,4724,Old Gunp.Rd.,9995,Bauer La.,45,|,19.5,,D,39,,4,,35,,21.7,13,11,,62%,,|,9.9,,F,77,,46,,31,,24.5,53,9,,81%,,,,
PG,N,2,I,Md.650,4776,Md.410,4777,Md.193,35,|,17.1,,C,213,,103,,110,,33,115,7,,57%,,|,15.5,,C,235,,77,,158,,23,99,45,,61%,,,,
PG,S,1,I,Md.650,2285,Md.320,4777,Md.193,40,|,8.6,,F,372,,179,,193,,13.1,290,11,,81%,,|,30.1,,A,106,,5,,101,,24.9,11,24,,33%,,,,
PG,N,1,I,Md.650,4777,Md.193,2285,Md.320,40,|,39.3,,A,84,,0,,84,,39.3,0,11,,13%,,|,26,,B,127,,36,,91,,36.2,41,13,,43%,,,,
PG,S,2,I,Md.650,4777,Md.193,4776,Md.410,35,|,20.4,,B,179,,42,,137,,23.3,65,23,,49%,,|,25.1,,A,145,,22,,123,,25.9,34,20,,37%,,,,
1,N,2,S,Dr.Bird,1507,Norwood Rd.,2361,Md.108,30,|,32.6,,A,74,,0,,74,,32.6,0,5,,7%,,|,16.5,,D,146,,66,,80,,30.1,71,6,,53%,,,,
1,S,2,S,Dr.Bird,2361,Md.108,1507,Norwood Rd.,30,|,32.7,,A,75,,0,,75,,32.7,0,5,,7%,,|,35.1,,A,70,,0,,70,,35.1,0,0,,0%,,,,
1,E,1,S,Ednor Rd,2353,Norwood Rd.,2355,Md.650,35,|,32.8,,B,209,,0,,209,,32.8,4,34,,18%,,|,29.1,,B,236,,23,,213,,32.2,28,37,,28%,,,,
1,W,1,S,Ednor Rd.,2355,Md.650,2353,Norwood Rd.,35,|,33,,B,207,,0,,207,,33,2,34,,17%,,|,30.8,,B,222,,7,,215,,31.8,16,35,,23%,,,,
