package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,Table 3:,,text,13,Row ID | A | B | C | D,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,Time Component by Geographical Area,,text,15,Time Category (Total Minutes) | Link Stopped Delay | Link Running Time | Approach Delay | Flow Delay,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,column_3,,text,9,Calculation | A+B | A/E | B/E | C/B,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,column_4,,mixed_numeric_text,14,Inside the | Beltway | 51977.564799999986 | 183779.37165 | 11991.22013,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,column_5,,mixed_numeric_text,14,Outside the | Beltway | 187174.8286 | 744086.7949899997 | 44290.17163999998,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,column_6,,mixed_numeric_text,13,Rural | 3305.7328000000007 | 54309.66512999999 | 18071.836759999995 | 6968.831579999999,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/link_observations/csv_exports/links87_excel/Table_3.csv,,column_7,,mixed_numeric_text,13,Total | 242458.12619999988 | 982175.8317700005 | 74353.22852999992 | 137548.64715999993,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 23 rows."
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/modernized_xlsx/publication_tables_regression_figures.xlsx,Table3,Table 3:,,text,12,Row ID | A | B | C | D,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 16 non-empty rows from worksheet.
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/modernized_xlsx/publication_tables_regression_figures.xlsx,Table3,column_2,,text,13,Total Time in Area in Minutes: | Stopped Delay | Estimated Running Time | - Approach Delay | - Flow Delay,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 16 non-empty rows from worksheet.
paper-1998-02,Speed and Delay on Signalized Arterials,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1998-02-speed-and-delay-on-signalized-arterials,data/modernized_xlsx/publication_tables_regression_figures.xlsx,Table3,Time by Component by Geographical Area,,mixed_numeric_text,14,Suburban Areas | Inside the | Beltway | 43.15 | 140.935,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 16 non-empty rows from worksheet.
